Date,Description,Type,Category,Amount,Balance,Payee Account,Payee Sort Code,Payee Bank
20/03/2024,Entertainment Payment,Debit,Entertainment,-338.62,661.38,43957836,67-35-37,Nova Bank
01/01/2024,Shopping Payment,Debit,Shopping,-203.15,458.23,58115788,26-83-20,Summit Bank
27/03/2024,Insurance Payment,Credit,Insurance,387.3,845.53,81170794,14-87-34,Omega Savings
31/01/2024,Salary Payment,Debit,Salary,-204.35,641.18,64523205,43-37-69,Titan Financial
31/01/2024,Grocery Payment,Debit,Grocery,-271.85,369.33,27605695,65-13-53,Horizon Trust
08/01/2024,Salary Payment,Debit,Salary,-446.97,-77.64,41694393,11-96-81,Pinnacle Trust
01/04/2024,Utilities Payment,Credit,Utilities,115.71,38.07,40279823,24-14-78,Pinnacle Trust
19/01/2024,Salary Payment,Debit,Salary,-77,-38.93,18176234,24-90-60,Omega Savings
24/03/2024,Entertainment Payment,Credit,Entertainment,216.78,177.85,22272242,54-64-59,Omega Savings
10/04/2024,Dining Payment,Credit,Dining,199.96,377.81,95525540,67-71-31,Pinnacle Trust
16/03/2024,Salary Payment,Debit,Salary,-363.76,14.05,33108920,86-67-71,Titan Financial
27/03/2024,Utilities Payment,Debit,Utilities,-111.1,-97.05,60356999,94-25-70,Alpha Bank
21/01/2024,Grocery Payment,Credit,Grocery,116.89,19.84,87050028,39-93-51,Alpha Bank
20/03/2024,Shopping Payment,Debit,Shopping,-48.29,-28.45,41265976,26-43-40,Nova Bank
05/01/2024,Utilities Payment,Debit,Utilities,-325.51,-353.96,91946405,99-96-21,Omega Savings
10/02/2024,Dining Payment,Debit,Dining,-75.98,-429.94,63710788,34-36-34,Summit Bank
17/01/2024,Entertainment Payment,Debit,Entertainment,-385.15,-815.09,78721086,18-61-14,Summit Bank
04/01/2024,Utilities Payment,Credit,Utilities,325.98,-489.11,47665395,89-94-32,Summit Bank
08/03/2024,Transfer Payment,Credit,Transfer,337.84,-151.27,55651159,29-83-43,Zenith Credit
05/02/2024,Entertainment Payment,Credit,Entertainment,216.86,65.59,61149530,21-48-27,Omega Savings
06/01/2024,Grocery Payment,Credit,Grocery,127.52,193.11,17339424,68-81-74,Aurora Bank
11/02/2024,Dining Payment,Debit,Dining,-299.93,-106.82,65241409,63-34-54,Horizon Trust
22/02/2024,Grocery Payment,Credit,Grocery,71.5,-35.32,89242464,35-43-29,Nova Bank
20/03/2024,Grocery Payment,Debit,Grocery,-289.22,-324.54,83739253,89-88-61,Summit Bank
14/01/2024,Utilities Payment,Debit,Utilities,-120.57,-445.11,14810983,78-20-25,Zenith Credit
07/04/2024,Misc Payment,Credit,Misc,199.68,-245.43,88385941,75-87-30,Summit Bank
28/03/2024,Dining Payment,Credit,Dining,495.28,249.85,31083590,87-24-94,Horizon Trust
08/02/2024,Utilities Payment,Debit,Utilities,-72.43,177.42,33058824,15-70-53,Alpha Bank
31/03/2024,Shopping Payment,Credit,Shopping,261.74,439.16,23241050,26-86-48,Alpha Bank
14/03/2024,Dining Payment,Debit,Dining,-355.94,83.22,21433157,93-60-19,Aurora Bank
31/03/2024,Utilities Payment,Credit,Utilities,411.08,494.3,66215397,42-81-75,Zenith Credit
17/01/2024,Salary Payment,Debit,Salary,-377.93,116.37,28723298,66-52-34,Summit Bank
07/01/2024,Dining Payment,Credit,Dining,91.03,207.4,72893583,16-77-86,Summit Bank
08/02/2024,Salary Payment,Credit,Salary,392.76,600.16,37973851,75-93-81,Alpha Bank
19/01/2024,Rent Payment,Debit,Rent,-158.15,442.01,51813472,25-64-60,Alpha Bank
17/01/2024,Rent Payment,Credit,Rent,10.91,452.92,81761365,20-76-98,Nova Bank
24/04/2024,Insurance Payment,Credit,Insurance,180.17,633.09,97098319,35-36-87,Summit Bank
28/01/2024,Entertainment Payment,Debit,Entertainment,-337.55,295.54,14252037,61-55-70,Titan Financial
05/03/2024,Salary Payment,Debit,Salary,-184.91,110.63,59782352,54-36-85,Omega Savings
28/01/2024,Grocery Payment,Credit,Grocery,425.42,536.05,85212095,57-68-49,Summit Bank
02/01/2024,Insurance Payment,Debit,Insurance,-109.23,426.82,77452952,53-59-36,Alpha Bank
01/02/2024,Transfer Payment,Credit,Transfer,248.75,675.57,90782646,65-30-62,Alpha Bank
04/01/2024,Grocery Payment,Debit,Grocery,-450.13,225.44,52931006,77-21-41,Zenith Credit
16/04/2024,Rent Payment,Debit,Rent,-385.79,-160.35,26643711,37-93-44,Horizon Trust
